//Floor,Mark,Shape,H,B,tw,tf,r,MAT
1F,1F_0.0_0.0,H,0,0,0,0,0,Error
2F,2F_588.0_300.0,H,588.0,300.0,12.0,20.0,13.0,SS400
2F,2F_600.0_200.0,H,600.0,200.0,11.0,17.0,13.0,SS400
3F,3F_450.0_200.0,H,450.0,200.0,9.0,14.0,13.0,SS400
3F,3F_488.0_300.0,H,488.0,300.0,11.0,18.0,13.0,SS400
3F,3F_496.0_199.0,H,496.0,199.0,9.0,14.0,13.0,SS400
3F,3F_588.0_300.0,H,588.0,300.0,12.0,20.0,13.0,SM490
4F,4F_446.0_199.0,H,446.0,199.0,8.0,12.0,13.0,SS400
4F,4F_588.0_300.0,H,588.0,300.0,12.0,20.0,13.0,SS400
4F,4F_700.0_300.0,H,700.0,300.0,13.0,24.0,18.0,SM490
